number,description,parent_code,level
0209020.06,Overige mutaties afschrijvingen huurdersinvesteringen,,5
0209030.01,Beginbalans (overname eindsaldo vorig jaar) huurdersinvesteringen,,5
0209030.02,Herwaarderingen huurdersinvesteringen,,5
0209030.03,Afschrijving herwaarderingen huurdersinvesteringen,,5
0209030.04,Desinvestering herwaarderingen huurdersinvesteringen,,5
0209030.05,Overige mutaties herwaarderingen huurdersinvesteringen,,5
0211010.01,Beginbalans (overname eindsaldo vorig jaar) vliegtuigen,,5
0211010.02,Investeringen vliegtuigen,,5
0211010.05,Verwervingen via fusies en overnames vliegtuigen,,5
0211010.06,Desinvesteringen vliegtuigen,,5
0211010.07,Afstotingen vliegtuigen,,5
0211010.08,Omrekeningsverschillen vliegtuigen,,5
0211010.09,Overboekingen vliegtuigen,,5
0211010.10,Overige mutaties vliegtuigen,,5
0211015.01,Beginbalans (overname eindsaldo vorig jaar) vliegtuigen,,5
0211015.02,Investeringen vliegtuigen,,5
0211015.05,Verwervingen via fusies en overnames vliegtuigen,,5
0211015.06,Desinvesteringen vliegtuigen,,5
0211015.07,Afstotingen vliegtuigen,,5
0211015.08,Omrekeningsverschillen vliegtuigen,,5
0211015.09,Overboekingen vliegtuigen,,5
0211015.10,Overige mutaties vliegtuigen,,5
0211020.01,Beginbalans (overname eindsaldo vorig jaar) vliegtuigen,,5
0211020.02,Afschrijvingen vliegtuigen,,5
0211020.03,Afschrijving op desinvesteringen vliegtuigen,,5
0211020.04,Bijzondere waardeverminderingen vliegtuigen,,5
0211020.05,Terugneming van bijzondere waardeverminderingen vliegtuigen,,5
0211030.01,Beginbalans (overname eindsaldo vorig jaar) vliegtuigen,,5
0211030.02,Herwaarderingen vliegtuigen,,5
0211030.03,Afschrijving herwaarderingen vliegtuigen,,5
0211030.04,Desinvestering herwaarderingen vliegtuigen,,5
0212010.01,Beginbalans (overname eindsaldo vorig jaar) schepen,,5
0212010.02,Investeringen schepen,,5
0212010.05,Verwervingen via fusies en overnames schepen,,5
0212010.06,Desinvesteringen schepen,,5
0212010.07,Afstotingen schepen,,5
0212010.08,Omrekeningsverschillen schepen,,5
0212010.09,Overboekingen schepen,,5
0212010.10,Overige mutaties schepen,,5
0212015.01,Beginbalans (overname eindsaldo vorig jaar) schepen,,5
0212015.02,Investeringen schepen,,5
0212015.05,Verwervingen via fusies en overnames schepen,,5
0212015.06,Desinvesteringen schepen,,5
0212015.07,Afstotingen schepen,,5
